ID	CONCEPT	COUNTERPART	PROTOFORM	DERIVATION_CLASS	NOTE_PRESENT	PRODUCTION_STATUS	SOURCE_MATERIAL_STATUS	SOURCE_MATERIAL_PATHS	PRIORITY_TIER	PILOT_BATCH_CANDIDATE	MODEL_ENTRY_CANDIDATE	NEEDS_EXCEPTION_AGENT	REASON
2066	hearth	heorþ	*xérθaz	regular	no	none	source_material_available	dev_notes_slices/2066-hearth-heorþ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2067	heath	hǣþ	*xáiθiz	regular	no	none	source_material_available	dev_notes_slices/2067-heath-hǣþ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2068	heaven	heofon	*xémonų	late_analogy	yes	none	source_material_available	dev_notes_slices/2068-heaven-heofon.md, dev_notes_slices/deferred_sound_change_material.md, packets/2068-heaven-heofon.md, research_memos/2068-heaven-heofon.md, research_memos/batch_07_summary.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2069	hedge	heġġ	*xágjaz	regular	yes	none	source_material_available	dev_notes_slices/2069-hedge-heġġ.md, packets/2069-hedge-heġġ.md, research_memos/2069-hedge-heġġ.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2070	helm	helm	*xélmaz	regular	yes	none	source_material_available	dev_notes_slices/2070-helm-helm.md, packets/2070-helm-helm.md, research_memos/2070-helm-helm.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2071	help	helpan	*xélpaną	regular	yes	none	source_material_available	research_memos/2071-help-helpan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2072	help	help	*xélpō	regular	no	none	source_material_available	dev_notes_slices/2071-help-helpan.md, dev_notes_slices/2072-help-help.md, packets/2071-help-helpan.md, research_memos/batch_20_summary.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2073	herd	heord	*xérdō	regular	no	none	source_material_available	dev_notes_slices/2073-herd-heord.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2074	hew	hēawan	*xáwwaną	regular	no	none	source_material_available	dev_notes_slices/2074-hew-hēawan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2075	hind	hind	*xéndjō	regular	yes	none	source_material_available	dev_notes_slices/2075-hind-hind.md, packets/2075-hind-hind.md, research_memos/2075-hind-hind.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2076	hoard	hord	*xúzdą	regular	no	none	source_material_available	dev_notes_slices/2076-hoard-hord.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2077	hold	healdan	*xáldaną	regular	yes	none	source_material_available	dev_notes_slices/2077-hold-healdan.md, research_memos/2077-hold-healdan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2078	home	hām	*xáimaz	regular	no	none	source_material_available	dev_notes_slices/2078-home-hām.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2079	honey	huniġ	*xúnagą	regular	no	none	source_material_available	dev_notes_slices/2079-honey-huniġ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2080	hood	hōd	*xōdaz	regular	no	none	source_material_available	dev_notes_slices/2080-hood-hōd.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2081	hoof	hōf	*xōfaz	regular	no	none	source_material_available	dev_notes_slices/2081-hoof-hōf.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2082	horn	horn	*xúrną	regular	yes	none	source_material_available	dev_notes_slices/2082-horn-horn.md, packets/2082-horn-horn.md, packets/2251-thorn-þorn.md, research_memos/2082-horn-horn.md, research_memos/batch_21_summary.md, research_memos/batch_31_summary.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2083	hound	hund	*xúndaz	regular	no	none	source_material_available	dev_notes_slices/2083-hound-hund.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2084	knead	cnedan	*knédaną	regular	no	none	source_material_available	dev_notes_slices/2084-knead-cnedan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2085	knee	cnēow	*knéwą	regular	no	none	source_material_available	dev_notes_slices/2085-knee-cnēow.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2086	knight	cniht	*knéxtaz	early_analogy	yes	none	source_material_available	dev_notes_slices/2086-knight-cniht.md, packets/2086-knight-cniht.md, research_memos/2086-knight-cniht.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2087	knob	cnobba	*knúbbô	reconstructed_oe	yes	none	source_material_available	dev_notes_slices/2087-knob-cnobba.md, packets/2087-knob-cnobba.md, research_memos/2087-knob-cnobba.md	P1_nonregular_missing_production	yes	no	maybe	Non-regular reconstructed_oe row with supporting source material but no manifest-backed production report.
2088	lade	hladan	*xláðaną	early_analogy	yes	none	source_material_available	dev_notes_slices/2088-lade-hladan.md, packets/2088-lade-hladan.md, research_memos/2088-lade-hladan.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2089	land	land	*lándą	regular	no	none	source_material_available	dev_notes_slices/2089-land-land.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2090	lap	lappa	*láppô	early_analogy	no	none	source_material_available	dev_notes_slices/2090-lap-lappa.md, packets/2090-lap-lappa.md, research_memos/2090-lap-lappa.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2091	last	lǣstan	*láistijaną	regular	no	none	source_material_available	dev_notes_slices/2091-last-lǣstan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2092	laugh	hliehhan	*xláxjaną	early_analogy	yes	none	source_material_available	dev_notes_slices/2092-laugh-hliehhan.md, packets/2092-laugh-hliehhan.md, research_memos/2092-laugh-hliehhan.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2093	lead	lǣdan	*láidijaną	regular	yes	none	source_material_available	dev_notes_slices/2093-lead-lǣdan.md, packets/2093-lead-lǣdan.md, research_memos/2093-lead-lǣdan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2094	leaf	lēaf	*láubą	regular	no	none	source_material_available	dev_notes_slices/2094-leaf-lēaf.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2095	learn	liornian	*líznōjaną	regular	yes	none	source_material_available	dev_notes_slices/2095-learn-liornian.md, packets/2095-learn-liornian.md, research_memos/2095-learn-liornian.md, research_memos/batch_22_summary.md	P2_regular_with_note_missing_production	yes	no	maybe	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2096	leather	leþer	*léθrą	regular	no	none	source_material_available	dev_notes_slices/2096-leather-leþer.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2097	leek	lēac	*láukaz	regular	no	none	source_material_available	dev_notes_slices/2097-leek-lēac.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2098	let	lǣtan	*lḗtaną	regular	no	none	source_material_available	dev_notes_slices/2098-let-lǣtan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2099	lick	liccian	*líkkōjaną	regular	no	none	source_material_available	dev_notes_slices/2099-lick-liccian.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2100	lid	hlid	*xlídą	regular	yes	none	source_material_available	dev_notes_slices/2100-lid-hlid.md, packets/2100-lid-hlid.md, research_memos/2100-lid-hlid.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2101	life	līf	*lḯbą	regular	no	none	source_material_available	dev_notes_slices/2101-life-līf.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2102	light	līehtan	*léuxtijaną	regular	yes	none	source_material_available	dev_notes_slices/2102-light-līehtan.md, research_memos/2102-light-līehtan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2103	lime	līm	*lḯmą	regular	no	none	source_material_available	dev_notes_slices/2103-lime-līm.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2104	linden	lind	*líndō	regular	yes	none	source_material_available	dev_notes_slices/2104-linden-lind.md, packets/2104-linden-lind.md, research_memos/2104-linden-lind.md, research_memos/batch_23_summary.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2105	line	līne	*lḯnōn	regular	no	none	source_material_available	dev_notes_slices/2105-line-līne.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2106	list	līste	*lḯstōn	regular	no	none	source_material_available	dev_notes_slices/2106-list-līste.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2107	live	lifeþ	*líbēθi	late_analogy	yes	none	source_material_available	dev_notes_slices/2107-live-lifeþ.md, packets/2107-live-lifeþ.md, research_memos/2107-live-lifeþ.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2108	liver	lifer	*líbrō	regular	no	none	source_material_available	dev_notes_slices/2108-liver-lifer.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2109	loam	lām	*láimą	early_analogy	no	none	source_material_available	dev_notes_slices/2109-loam-lām.md, packets/2109-loam-lām.md, research_memos/2109-loam-lām.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2110	loath	lāþ	*láiθaz	regular	no	none	source_material_available	dev_notes_slices/2110-loath-lāþ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2111	lock	loc	*lúką	regular	no	none	source_material_available	dev_notes_slices/1935-ball-beall.md, dev_notes_slices/1947-bid-bēodan.md, dev_notes_slices/1948-bid-bid.md, dev_notes_slices/2111-lock-loc.md, research_memos/batch_24_summary.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2112	lock	locc	*lúkkaz	regular	no	none	source_material_available	dev_notes_slices/2112-lock-locc.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2113	louse	lūs	*lūsz	regular	no	none	source_material_available	dev_notes_slices/2113-louse-lūs.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2114	lung	lungen	*lúnganjō	early_analogy	yes	none	source_material_available	dev_notes_slices/2114-lung-lungen.md, packets/2114-lung-lungen.md, research_memos/2114-lung-lungen.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2115	lust	lust	*lústuz	regular	no	none	source_material_available	dev_notes_slices/2115-lust-lust.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2116	lye	lēag	*láugō	regular	no	none	source_material_available	dev_notes_slices/2116-lye-lēag.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2117	make	macian	*mákōjaną	regular	no	none	source_material_available	dev_notes_slices/2117-make-macian.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2118	malt	mealt	*máltaz	regular	no	none	source_material_available	dev_notes_slices/2118-malt-mealt.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2119	man	mannes	*mánnas	late_analogy	yes	none	source_material_available	dev_notes_slices/2119-man-mannes.md, research_memos/2119-man-mannes.md, research_memos/batch_08_summary.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2120	march	mearc	*márkō	regular	yes	none	source_material_available	dev_notes_slices/2120-marrow-mearg.md, packets/2120-march-mearc.md, research_memos/2120-march-mearc.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2121	mast	mæst	*mástaz	regular	no	none	source_material_available	dev_notes_slices/2121-mast-mæst.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2122	meal	mǣl	*mḗlą	regular	no	none	source_material_available	dev_notes_slices/2122-meal-mǣl.md, dev_notes_slices/2127-meal-melu.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2123	mean	mǣnan	*máinijaną	regular	no	none	source_material_available	dev_notes_slices/2123-mean-mǣnan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2124	meed	meorde	*mízdai	late_analogy	yes	none	source_material_available	dev_notes_slices/2124-meadow-mǣd.md, research_memos/2124-meed-meorde.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2125	might	miht	*máxtiz	regular	no	none	source_material_available	dev_notes_slices/2125-meet-mētan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2126	milk	meoloc	*mélukz	regular	yes	none	source_material_available	dev_notes_slices/2126-milk-meoloc.md, packets/2126-milk-meoloc.md, research_memos/2126-milk-meoloc.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2127	month	mōnaþ	*mḗnōθz	regular	no	none	no_source_material_found		P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2128	mood	mōd	*mōdaz	regular	no	none	source_material_available	dev_notes_slices/2128-mood-mōd.md, packets/2129-mother-mōder.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2129	mother	mōder	*mōdēr	regular	yes	none	source_material_available	dev_notes_slices/2129-mother-mōder.md, research_memos/2129-mother-mōder.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2130	nail	næġl	*náglaz	regular	no	none	source_material_available	dev_notes_slices/2130-nail-næġl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2131	name	nama	*námô	regular	no	none	source_material_available	dev_notes_slices/2131-name-nama.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2132	nave	nafu	*nábō	regular	no	none	source_material_available	dev_notes_slices/2132-nave-nafu.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2133	navel	nafola	*nábulô	early_analogy	yes	none	source_material_available	dev_notes_slices/2133-navel-nafola.md, packets/2133-navel-nafola.md, packets/2186-show-sċēawian.md, research_memos/2133-navel-nafola.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2134	neck	hnecca	*xnékkô	early_analogy	no	none	source_material_available	dev_notes_slices/2134-neck-hnecca.md, packets/2134-neck-hnecca.md, research_memos/2134-neck-hnecca.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2135	need	nīed	*náudiz	regular	no	none	source_material_available	dev_notes_slices/2135-need-nīed.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2136	needle	nǣdl	*nḗðlō	early_analogy	yes	none	source_material_available	dev_notes_slices/2136-needle-nǣdl.md, packets/2136-needle-nǣdl.md, research_memos/2136-needle-nǣdl.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2137	nest	nest	*nístą	regular	no	none	source_material_available	dev_notes_slices/2137-nest-nest.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2138	net	nett	*nátją	regular	yes	none	source_material_available	dev_notes_slices/2138-net-nett.md, packets/2138-net-nett.md, research_memos/2138-net-nett.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2139	nettle	netle	*nátilōn	regular	no	none	source_material_available	dev_notes_slices/2139-nettle-netle.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2140	night	niht	*náxti	late_analogy	yes	none	source_material_available	dev_notes_slices/2140-night-niht.md, research_memos/2140-night-niht.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2141	nightmare	mare	*márōn	regular	yes	none	source_material_available	dev_notes_slices/2141-nightmare-mare.md, packets/2141-nightmare-mare.md, research_memos/2141-nightmare-mare.md, research_memos/batch_25_summary.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2142	nine	nigon	*nígun	regular	no	none	source_material_available	dev_notes_slices/2142-nine-nigon.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2143	nose	nosu	*núsō	early_analogy	no	none	source_material_available	dev_notes_slices/2143-nose-nosu.md, packets/2143-nose-nosu.md, research_memos/2143-nose-nosu.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2144	one	ān	*áinaz	regular	no	none	source_material_available	dev_notes_slices/2144-one-ān.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2145	oven	ofn	*úfnaz	regular	no	none	source_material_available	dev_notes_slices/2145-oven-ofn.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2146	ox	oxa	*úxsô	regular	no	none	source_material_available	dev_notes_slices/2146-ox-oxa.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2147	rain	reġn	*régną	regular	no	none	source_material_available	dev_notes_slices/2147-rain-reġn.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2148	rainbow	reġnboga	*régna-bùgô	regular	no	none	source_material_available	dev_notes_slices/2148-rainbow-reġnboga.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2149	raven	hræfn	*xrábnaz	regular	no	none	source_material_available	dev_notes_slices/2149-raven-hræfn.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2150	read	rǣdan	*rḗdaną	regular	no	none	source_material_available	dev_notes_slices/2150-read-rǣdan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2151	reek	rēac	*ráukaz	reconstructed_oe	yes	manifest_pilot	manifest_backed	pilot/reek.md	P3_manifest_pilot_review_or_upgrade	no	no	maybe	Existing manifest-backed pilot report; review before any promotion to full.
2152	rest	ræste	*rástōz	late_analogy	yes	none	source_material_available	dev_notes_slices/2152-rest-ræste.md, packets/2152-rest-ræste.md, research_memos/2152-rest-ræste.md, research_memos/batch_09_summary.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2153	ride	rīdan	*rḯdaną	regular	no	none	source_material_available	dev_notes_slices/2153-ride-rīdan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2154	rind	rind	*ríndō	regular	no	none	source_material_available	dev_notes_slices/2154-rind-rind.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2155	coat	rocc	*rúkkaz	regular	yes	none	source_material_available	dev_notes_slices/2155-coat-rocc.md, packets/2155-coat-rocc.md, research_memos/2155-coat-rocc.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2157	rood	rōd	*rōdō	regular	no	none	source_material_available	dev_notes_slices/2157-rood-rōd.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2158	room	rūm	*rūmą	regular	no	none	source_material_available	dev_notes_slices/2158-room-rūm.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2159	rope	rāp	*ráipą	regular	no	none	source_material_available	dev_notes_slices/2159-rope-rāp.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2160	rudder	rōþor	*rōθraz	regular	no	none	source_material_available	dev_notes_slices/2160-rudder-rōþor.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2161	run	rinnan	*rínnaną	regular	no	none	source_material_available	dev_notes_slices/2161-run-rinnan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2162	rust	rust	*rústō	unexplained_unmodelled	yes	none	source_material_available	dev_notes_slices/2162-rust-rust.md, dev_notes_slices/PILOT_SUMMARY.md, research_memos/2162-rust-rust.md, research_memos/batch_04_summary.md	P1_nonregular_missing_production	no	no	maybe	Non-regular unexplained_unmodelled row with supporting source material but no manifest-backed production report.
2163	rye	ryġe	*rúgiz	regular	no	none	source_material_available	dev_notes_slices/2163-rye-ryġe.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2164	sail	seġl	*séglą	regular	no	none	source_material_available	dev_notes_slices/2164-sail-seġl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2165	sake	sacu	*sákō	regular	no	none	source_material_available	dev_notes_slices/2165-sake-sacu.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2166	salt	sealt	*sáltą	regular	no	none	source_material_available	dev_notes_slices/2166-salt-sealt.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2167	salve	sealf	*sálbō	regular	no	none	source_material_available	dev_notes_slices/2167-salve-sealf.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2168	sap	sæp	*sápą	early_analogy	yes	none	source_material_available	dev_notes_slices/2168-sap-sæp.md, packets/2168-sap-sæp.md, research_memos/2168-sap-sæp.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2169	sea	sǣ	*sáiwiz	early_analogy	yes	none	source_material_available	dev_notes_slices/2169-sea-sǣ.md, packets/2169-sea-sǣ.md, research_memos/2169-sea-sǣ.md, research_memos/batch_26_summary.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2170	seam	sēam	*sáumaz	regular	no	none	source_material_available	dev_notes_slices/2170-seam-sēam.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2171	seek	sēċan	*sōkijaną	regular	no	none	source_material_available	dev_notes_slices/2171-seek-sēċan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2172	send	sendan	*sándijaną	regular	no	none	source_material_available	dev_notes_slices/2172-send-sendan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2173	set	settan	*sátjaną	regular	no	none	source_material_available	dev_notes_slices/2173-set-settan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2174	seven	seofon	*sébun	regular	no	none	source_material_available	dev_notes_slices/2174-seven-seofon.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2175	shaft	sċeaft	*skáftą	regular	no	none	source_material_available	dev_notes_slices/2175-shaft-sċeaft.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2176	shame	sċamu	*skámō	regular	no	none	source_material_available	dev_notes_slices/2176-shame-sċamu.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2177	shear	sċieran	*skéraną	regular	no	none	source_material_available	dev_notes_slices/2177-shear-sċieran.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2178	sheath	sċēaþ	*skáiθiz	regular	no	none	source_material_available	dev_notes_slices/2178-sheath-sċēaþ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2179	sheep	sċēap	*skḗpą	regular	yes	none	source_material_available	dev_notes_slices/2179-sheep-sċēap.md, packets/2179-sheep-sċēap.md, research_memos/2179-sheep-sċēap.md, research_memos/batch_27_summary.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2180	shield	sċield	*skélduz	regular	no	none	source_material_available	dev_notes_slices/2180-shield-sċield.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2181	shilling	sċilling	*skíllingaz	regular	yes	none	source_material_available	dev_notes_slices/2181-shilling-sċilling.md, dev_notes_slices/2218-stilt-stilte.md, packets/2181-shilling-sċilling.md, research_memos/2181-shilling-sċilling.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2182	shine	sċīnan	*skḯnaną	regular	no	none	source_material_available	dev_notes_slices/2182-shine-sċīnan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2183	shoulder	sċuldrum	*skúldramiz	late_analogy	yes	none	source_material_available	dev_notes_slices/2183-shoulder-sċuldrum.md, packets/2183-shoulder-sċuldrum.md, research_memos/2183-shoulder-sċuldrum.md	P1_nonregular_missing_production	yes	yes	yes	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2184	shove	sċēaf	*skáub	late_analogy	yes	none	source_material_available	dev_notes_slices/2184-shove-sċēaf.md, packets/2184-shove-sċēaf.md, research_memos/2184-shove-sċēaf.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2185	shovel	sċofl	*skúflō	regular	no	none	source_material_available	dev_notes_slices/2185-shovel-sċofl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2186	show	sċēawian	*skáwōjaną	regular	yes	none	source_material_available	dev_notes_slices/2186-show-sċēawian.md, research_memos/2186-show-sċēawian.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2187	shower	sċūr	*skūrō	regular	no	none	source_material_available	dev_notes_slices/2187-shower-sċūr.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2188	side	sīde	*sḯdōn	regular	no	none	source_material_available	dev_notes_slices/2188-side-sīde.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2189	sieve	sife	*síbi	early_analogy	no	none	source_material_available	dev_notes_slices/2189-sieve-sife.md, packets/2189-sieve-sife.md, research_memos/2189-sieve-sife.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2190	sing	singan	*síngwaną	regular	no	none	source_material_available	dev_notes_slices/2190-sing-singan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2191	singe	senġan	*sángijaną	regular	no	none	source_material_available	dev_notes_slices/2191-singe-senġan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2192	sister	swester	*swéstēr	regular	no	none	source_material_available	dev_notes_slices/2192-sister-swester.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2193	sit	sittan	*sétjaną	regular	no	none	source_material_available	dev_notes_slices/2193-sit-sittan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2194	six	six	*séxs	regular	no	none	source_material_available	dev_notes_slices/2194-six-six.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2195	slay	slēan	*sláxaną	regular	no	none	source_material_available	dev_notes_slices/2195-slay-slēan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
